column_name,rare_value,count,percentage_within_non_missing,total_non_missing,recommendation
Name,DAvId muNoZ,3,0.0054,55500,Review before encoding; may need grouping into 'Other'.
Name,SOnYa aDams,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,terRY gONZaLeZ,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JaCKsON BARbeR,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,doNALD aViLA,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,RICHARd cHERry,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,jeffRey davIs,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,BrEANnA JaMEs,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MEgan mORriSon,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,kaTheRIne WeBSTer,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MaTthew TyleR,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,edWaRd bOYd,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,dr. anThoNy wILsoN dVM,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,PaUl PAyNE,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,BriAn barRETT,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JohN DAVis,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,DANIELLe SiNGletoN,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,NIcole MeJia,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,jaCk oLsOn,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,briTtNeY York,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,KristeN zAVALA,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,CLAudia le,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,CRysTAL TurNeR,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,jiLL eaTon,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,bRAndON paTTErSoN,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,ThoMas ROgERs,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,aNThonY jacKSon,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JoHn wEbSTeR,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,BenJAMin lONG,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,sTephANIE SMItH,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,ToNY wAtSOn,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,dAWn chAveZ,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,pAmELa SuaRez,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,ANGELA GomeZ,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,chaSe nEAl,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,stEVeN HODgE,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,mISS MariSsa HoffMaN pHD,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,mArK jaCKsON,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JamES MAYNaRd,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,SamuEl caREY,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,CoNnor sOsA,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MollY aRnold,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MeLiSSA burke,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,keVin JeNKiNS,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JEnnifEr leE,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,AlexAnDRA peRry,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,CoNnOR JoHns,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,STeVEN eDwArdS,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,antHoNy mEYEr,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,SEan boOKeR,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,THOMaS WheelER,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,KaTRINa LEvy,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,KaRA SawYER,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,apRiL SmITH,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,ronALD HANSON,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,luIS PHilLips,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,OliViA rOBErTs,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,TRAcy CLAy,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,BridgEt smiTh,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,EdWArd caRdENaS,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,anna BiShOp,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JOHN niXOn,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,jasoN hErnandez,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MELISsa SCHuLTZ,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,Justin SIMS,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JESUs MArtInEz,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,BrAnDon johNsoN,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,alAN anDERsON,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,sArAh aNdeRSON,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JoshuA VaZQUEz,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,wILliam PARriSH,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,aNDrEW GriFfiN,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,thomas DiCKERSoN,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,JONAthaN sANDeRs,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,kArEN lArA,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,dArren BRooKs,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,caItLiN ODonNell,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,bEth gonZAlEz,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,Karen CAMaCHO,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MaRiE heRNANDEz,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,dANIEl myers,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,juStIn MUrPhY,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,MaRgArEt JohnsON,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,taylOR HOfFmAn,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,oMar dEAn,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
Name,corY STEWaRT,2,0.0036,55500,Review before encoding; may need grouping into 'Other'.
