column_name,current_dtype,missing_count,unique_values,meaning_to_be_filled_by_user,unit_if_any,allowed_values_or_range,is_sensitive_yes_no,use_in_ml_yes_no,possible_target_yes_no,notes
Name,object,0,49992,,,,,,,
Age,int64,0,77,,,,,,,
Gender,object,0,2,,,,,,,
Blood Type,object,0,8,,,,,,,
Medical Condition,object,0,6,,,,,,,
Date of Admission,object,0,1827,,,,,,,
Doctor,object,0,40341,,,,,,,
Hospital,object,0,39876,,,,,,,
Insurance Provider,object,0,5,,,,,,,
Billing Amount,float64,0,50000,,,,,,,
Room Number,int64,0,400,,,,,,,
Admission Type,object,0,3,,,,,,,
Discharge Date,object,0,1856,,,,,,,
Medication,object,0,5,,,,,,,
Test Results,object,0,3,,,,,,,
